"date","ecoregion","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","146","148","152","154","156","158","160","163","164","166","168","170","96","97","139","140","141","143","144","145","147","149","150","151","153","155","157","161","162","165","167","169"
"X1870.01.16","Southern Caribbean",25.69103241,25.96047274,26.13864899,26.04989243,26.04989243,26.04989243,26.04989243,26.04989243,26.05173683,26.13864899,26.05173683,26.13864899,25.91009521,26.13864899,25.99021149,26.05639203,25.98412437,25.86707687,25.86707687,26.40967696,26.75674438,25.8216095,26.55121231,26.55121231,26.55121231,26.55121231,26.55121231,26.55121231,26.55121231,26.55121231,26.55121231,26.08256149,26.18266678,25.98245621,26.18266678,25.98245621,26.18266678,26.08256149,26.18266678,26.18266678,25.98245621,26.0246058,26.1280639,26.08256149,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.18266678,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.26355362,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.34444046,26.18266678,26.18266678,26.18266678,26.18266678,26.18266678,26.18266678,26.18266678,26.18266678,26.18266678,26.18266678,26.34444046,26.18266678,26.34444046,26.18266678,26.23659134,26.32132993,26.18266678,26.54596138,26.54596138,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.4242878,26.17515945,26.17515945,26.17515945,26.17515945,26.17515945,26.17515945,26.33086467,26.29972363,26.17515945,26.17515945,26.36200571,26.17515945,26.2534603304979,26.218443702249,26.2409172058105,26.2409172058105,26.2409172058105,26.2409172058105,26.2409172058105,26.2409172058105,26.2409172058105,26.2409172058105,26.2905000715113,26.2409172058105,26.2409172058105,26.2409172058105,26.2409172058105,26.2409172058105,26.2409172058105,26.1751594543457,26.2090797424316,26.2409172058105
"X1870.02.14","Southern Caribbean",25.32604408,25.52854284,25.67689896,25.59871101,25.59871101,25.59871101,25.59871101,25.59871101,25.58268547,25.67689896,25.58268547,25.67689896,25.44974518,25.67689896,25.53893089,25.58384196,25.52686424,25.40915298,25.40915298,26.08209719,26.43899727,25.45278168,26.09831238,26.09831238,26.09831238,26.09831238,26.09831238,26.09831238,26.09831238,26.09831238,26.09831238,25.62584019,25.69984436,25.55183601,25.69984436,25.55183601,25.69984436,25.62584019,25.69984436,25.69984436,25.55183601,25.58299567,25.65947845,25.62584019,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.69984436,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.76713371,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.83442307,25.69984436,25.69984436,25.69984436,25.69984436,25.69984436,25.69984436,25.69984436,25.69984436,25.69984436,25.69984436,25.83442307,25.69984436,25.83442307,25.69984436,25.74470393,25.81519754,25.69984436,26.13773918,26.13773918,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.92724228,25.70988464,25.70988464,25.70988464,25.70988464,25.70988464,25.70988464,25.84573317,25.81856346,25.70988464,25.70988464,25.87290287,25.70988464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1870.03.16","Southern Caribbean",25.534729,25.7832667,25.91572762,25.81482887,25.81482887,25.81482887,25.81482887,25.81482887,25.89934349,25.91572762,25.89934349,25.91572762,25.7475605,25.91572762,25.78929901,25.79305077,25.81823921,25.74472046,25.74472046,26.24425071,26.5791111,25.65268707,26.41557503,26.41557503,26.41557503,26.41557503,26.41557503,26.41557503,26.41557503,26.41557503,26.41557503,25.80109882,25.86483574,25.73736191,25.86483574,25.73736191,25.86483574,25.80109882,25.86483574,25.86483574,25.73736191,25.7641985,25.83007015,25.80109882,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,25.86483574,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,25.93497372,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,26.00511169,25.86483574,25.86483574,25.86483574,25.86483574,25.86483574,25.86483574,25.86483574,25.86483574,25.86483574,25.86483574,26.00511169,25.86483574,26.00511169,25.86483574,25.91159439,25.98507227,25.86483574,26.45544434,26.45544434,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,26.11680222,25.91464233,25.91464233,25.91464233,25.91464233,25.91464233,25.91464233,26.04099226,26.01572227,25.91464233,25.91464233,26.06626225,25.91464233,25.9748613311023,25.9037915398093,25.9156532287598,25.9156532287598,25.9156532287598,25.9156532287598,25.9156532287598,25.9156532287598,25.9156532287598,25.9156532287598,26.006757223784,25.9156532287598,25.9156532287598,25.9156532287598,25.9156532287598,25.9156532287598,25.9156532287598,25.9146423339844,25.8988491694132,25.9156532287598
"X1870.04.15","Southern Caribbean",25.82101822,25.96665827,26.08102226,26.00580597,26.00580597,26.00580597,26.00580597,26.00580597,25.99793434,26.08102226,25.99793434,26.08102226,25.81477737,26.08102226,25.92386627,26.02671305,25.9557785,25.78663063,25.78663063,26.64337758,26.98506737,25.93427658,26.66743469,26.66743469,26.66743469,26.66743469,26.66743469,26.66743469,26.66743469,26.66743469,26.66743469,26.10616589,26.17850876,26.03382301,26.17850876,26.03382301,26.17850876,26.10616589,26.17850876,26.17850876,26.03382301,26.06428317,26.13904901,26.10616589,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.17850876,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.24175262,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.30499649,26.17850876,26.17850876,26.17850876,26.17850876,26.17850876,26.17850876,26.17850876,26.17850876,26.17850876,26.17850876,26.30499649,26.17850876,26.30499649,26.17850876,26.22067134,26.28692681,26.17850876,26.70721817,26.70721817,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.37759781,26.13262939,26.13262939,26.13262939,26.13262939,26.13262939,26.13262939,26.28573465,26.2551136,26.13262939,26.13262939,26.31635571,26.13262939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1870.05.16","Southern Caribbean",26.81873131,26.60650762,26.5356369,26.4939785,26.4939785,26.4939785,26.4939785,26.4939785,26.46515465,26.5356369,26.46515465,26.5356369,26.30362129,26.5356369,26.3945961,26.65842946,26.47585373,26.28312302,26.28312302,27.62446049,27.97725677,26.8723259,27.1158905,27.1158905,27.1158905,27.1158905,27.1158905,27.1158905,27.1158905,27.1158905,27.1158905,26.85394764,26.86865425,26.83924103,26.86865425,26.83924103,26.86865425,26.85394764,26.86865425,26.86865425,26.83924103,26.84543329,26.86063246,26.85394764,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.86865425,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.87615108,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.88364792,26.86865425,26.86865425,26.86865425,26.86865425,26.86865425,26.86865425,26.86865425,26.86865425,26.86865425,26.86865425,26.88364792,26.86865425,26.88364792,26.86865425,26.87365214,26.88150597,26.86865425,27.10895729,27.10895729,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.85466766,26.62163544,26.62163544,26.62163544,26.62163544,26.62163544,26.62163544,26.76728058,26.73815155,26.62163544,26.62163544,26.79640961,26.62163544,26.7028473830805,26.77178551169,26.8088264465332,26.8088264465332,26.8088264465332,26.8088264465332,26.8088264465332,26.8088264465332,26.8088264465332,26.8088264465332,26.7328062199835,26.8088264465332,26.8088264465332,26.8088264465332,26.8088264465332,26.8088264465332,26.8088264465332,26.6216354370117,26.7563517888387,26.8088264465332
"X1870.06.16","Southern Caribbean",27.04897118,26.82672755,26.71019173,26.63298035,26.63298035,26.63298035,26.63298035,26.63298035,26.72101974,26.71019173,26.72101974,26.71019173,26.4865284,26.71019173,26.55192184,26.83698654,26.72702293,26.53091049,26.53091049,27.79033961,28.15762711,27.08824921,27.37017441,27.37017441,27.37017441,27.37017441,27.37017441,27.37017441,27.37017441,27.37017441,27.37017441,27.0487957,27.0495472,27.0480442,27.0495472,27.0480442,27.0495472,27.0487957,27.0495472,27.0495472,27.0480442,27.04836062,27.04913729,27.0487957,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.0495472,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.05520535,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.06086349,27.0495472,27.0495472,27.0495472,27.0495472,27.0495472,27.0495472,27.0495472,27.0495472,27.0495472,27.0495472,27.06086349,27.0495472,27.06086349,27.0495472,27.0533193,27.05924688,27.0495472,27.34560966,27.34560966,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,27.0565815,26.77547073,26.77547073,26.77547073,26.77547073,26.77547073,26.77547073,26.95116496,26.91602612,26.77547073,26.77547073,26.98630381,26.77547073,26.8709062436732,26.9227245555204,26.9613571166992,26.9613571166992,26.9613571166992,26.9613571166992,26.9613571166992,26.9613571166992,26.9613571166992,26.9613571166992,26.9089012715354,26.9613571166992,26.9613571166992,26.9613571166992,26.9613571166992,26.9613571166992,26.9613571166992,26.7754707336426,26.9066276550293,26.9613571166992
"X1870.07.16","Southern Caribbean",26.46645164,26.6450901,26.73386383,26.60602951,26.60602951,26.60602951,26.60602951,26.60602951,26.73495483,26.73386383,26.73495483,26.73386383,26.5065918,26.73386383,26.56450272,26.63843409,26.64141464,26.52303696,26.52303696,27.36500795,27.73261642,26.5712471,27.33547974,27.33547974,27.33547974,27.33547974,27.33547974,27.33547974,27.33547974,27.33547974,27.33547974,26.70142937,26.76129341,26.64156532,26.76129341,26.64156532,26.76129341,26.70142937,26.76129341,26.76129341,26.64156532,26.66677124,26.7286403,26.70142937,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.76129341,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.83322811,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.90516281,26.76129341,26.76129341,26.76129341,26.76129341,26.76129341,26.76129341,26.76129341,26.76129341,26.76129341,26.76129341,26.90516281,26.76129341,26.90516281,26.76129341,26.80924988,26.88461004,26.76129341,27.36977386,27.36977386,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,27.02879906,26.74067116,26.74067116,26.74067116,26.74067116,26.74067116,26.74067116,26.92075109,26.88473511,26.74067116,26.74067116,26.95676708,26.74067116,26.8288146042242,26.7583335427677,26.7786407470703,26.7786407470703,26.7786407470703,26.7786407470703,26.7786407470703,26.7786407470703,26.7786407470703,26.7786407470703,26.8733891729099,26.7786407470703,26.7786407470703,26.7786407470703,26.7786407470703,26.7786407470703,26.7786407470703,26.7406711578369,26.7498722076416,26.7786407470703
"X1870.08.16","Southern Caribbean",27.02788162,27.2862943,27.41859055,27.29592133,27.29592133,27.29592133,27.29592133,27.29592133,27.41241074,27.41859055,27.41241074,27.41859055,27.21997261,27.41859055,27.26563263,27.31189664,27.3194912,27.22249603,27.22249603,27.64058549,27.96181107,27.13349342,28.00746918,28.00746918,28.00746918,28.00746918,28.00746918,28.00746918,28.00746918,28.00746918,28.00746918,27.33795929,27.41582489,27.26009369,27.41582489,27.26009369,27.41582489,27.33795929,27.41582489,27.41582489,27.26009369,27.29287921,27.37335274,27.33795929,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.41582489,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.49239922,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.56897354,27.41582489,27.41582489,27.41582489,27.41582489,27.41582489,27.41582489,27.41582489,27.41582489,27.41582489,27.41582489,27.56897354,27.41582489,27.56897354,27.41582489,27.46687444,27.54709516,27.41582489,28.06224251,28.06224251,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.68356323,27.41986847,27.41986847,27.41986847,27.41986847,27.41986847,27.41986847,27.5846777,27.55171585,27.41986847,27.41986847,27.61763954,27.41986847,27.500293433957,27.4325536840102,27.4507713317871,27.4507713317871,27.4507713317871,27.4507713317871,27.4507713317871,27.4507713317871,27.4507713317871,27.4507713317871,27.5411848381384,27.4507713317871,27.4507713317871,27.4507713317871,27.4507713317871,27.4507713317871,27.4507713317871,27.4198684692383,27.4249629974365,27.4507713317871
"X1870.09.16","Southern Caribbean",27.85702133,27.92490005,27.96646881,27.87598801,27.87598801,27.87598801,27.87598801,27.87598801,27.95121002,27.96646881,27.95121002,27.96646881,27.80016327,27.96646881,27.84936142,27.90154521,27.88906021,27.79547882,27.79547882,28.16424397,28.33798599,27.90548515,28.44223404,28.44223404,28.44223404,28.44223404,28.44223404,28.44223404,28.44223404,28.44223404,28.44223404,27.96335697,27.98656845,27.94014549,27.98656845,27.94014549,27.98656845,27.96335697,27.98656845,27.98656845,27.94014549,27.94991875,27.97390764,27.96335697,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,27.98656845,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,28.02570152,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,28.06483459,27.98656845,27.98656845,27.98656845,27.98656845,27.98656845,27.98656845,27.98656845,27.98656845,27.98656845,27.98656845,28.06483459,27.98656845,28.06483459,27.98656845,28.01265717,28.05365372,27.98656845,28.38004303,28.38004303,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,28.16051865,27.96918488,27.96918488,27.96918488,27.96918488,27.96918488,27.96918488,28.08876848,28.06485176,27.96918488,27.96918488,28.1126852,27.96918488,28.027197730832,27.9732392254998,27.9862060546875,27.9862060546875,27.9862060546875,27.9862060546875,27.9862060546875,27.9862060546875,27.9862060546875,27.9862060546875,28.0569032697535,27.9862060546875,27.9862060546875,27.9862060546875,27.9862060546875,27.9862060546875,27.9862060546875,27.9691848754883,27.9678363800049,27.9862060546875
