"date","ecoregion","14","21","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","1","2","3","4","5","6","7","8","9","10","11","12","13","15","16","17","18","19","20","22","23","24","25","26","27"
"X1870.01.16","Floridian",23.92025185,24.13753319,24.13753319,24.13753319,24.13753319,24.13753319,23.97477749,23.93606205,24.13753319,24.13753319,23.92025185,23.92422767,24.13753319,24.09407692,23.92025185,24.13753319,24.08558846,24.13753319,23.92025185,23.7160339355469,23.7160339355469,23.7160339355469,23.7160339355469,23.7160339355469,23.7160339355469,23.7160339355469,23.7160339355469,23.7160339355469,23.7160339355469,23.6854384729418,23.7160339355469,23.7160339355469,24.1375331878662,23.8153873307364,23.8963284134176,23.7160339355469,23.8735817732339,23.7160339355469,23.8071689090213,23.7265495094093,24.1194960576994,23.7525417448029,23.7394505606757,23.7160339355469
"X1870.02.14","Floridian",23.52983284,23.63761902,23.63761902,23.63761902,23.63761902,23.63761902,23.57110405,23.5421018,23.63761902,23.63761902,23.52983284,23.5328422,23.63761902,23.61606178,23.52983284,23.63761902,23.66543427,23.63761902,23.52983284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1870.03.16","Floridian",23.73231506,23.92338562,23.92338562,23.92338562,23.92338562,23.92338562,23.77769252,23.7460201,23.92338562,23.92338562,23.73231506,23.73562384,23.92338562,23.88517151,23.73231506,23.92338562,23.87944183,23.92338562,23.73231506,23.4124717712402,23.4124717712402,23.4124717712402,23.4124717712402,23.4124717712402,23.4124717712402,23.4124717712402,23.4124717712402,23.4124717712402,23.4124717712402,23.3781454183288,23.4124717712402,23.4124717712402,23.9233856201172,23.5329014641898,23.6310129551529,23.4124717712402,23.6034409644048,23.4124717712402,23.5229396304569,23.4252180626883,23.9015221896472,23.4567241518516,23.4408558739556,23.4124717712402
"X1870.04.15","Floridian",25.06907463,25.15596771,25.15596771,25.15596771,25.15596771,25.15596771,25.09928213,25.07746007,25.15596771,25.15596771,25.06907463,25.07127726,25.15596771,25.1385891,25.06907463,25.15596771,25.13509064,25.15596771,25.06907463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1870.05.16","Floridian",26.365242,26.34495735,26.34495735,26.34495735,26.34495735,26.34495735,26.37438747,26.3672381,26.34495735,26.34495735,26.365242,26.36590886,26.34495735,26.34901428,26.365242,26.34495735,26.38242645,26.34495735,26.365242,25.8960876464844,25.8960876464844,25.8960876464844,25.8960876464844,25.8960876464844,25.8960876464844,25.8960876464844,25.8960876464844,25.8960876464844,25.8960876464844,25.8792015592931,25.8960876464844,25.8960876464844,26.3449573516846,26.0018926484244,26.0880897169168,25.8960876464844,26.0638660021241,25.8960876464844,25.9931405557168,25.9072860590881,26.325748963399,25.9349661248875,25.9210248523288,25.8960876464844
"X1870.06.16","Floridian",27.96690369,27.87915039,27.87915039,27.87915039,27.87915039,27.87915039,27.96105412,27.96450697,27.87915039,27.87915039,27.96690369,27.96647716,27.87915039,27.89670105,27.96690369,27.87915039,27.92703476,27.87915039,27.96690369,27.5135135650635,27.5135135650635,27.5135135650635,27.5135135650635,27.5135135650635,27.5135135650635,27.5135135650635,27.5135135650635,27.5135135650635,27.5135135650635,27.5048466310663,27.5135135650635,27.5135135650635,27.879150390625,27.5996993882315,27.6699131320667,27.5135135650635,27.6501811651339,27.5135135650635,27.5925701759957,27.5226354817095,27.8635037697113,27.5451828964113,27.5338267220391,27.5135135650635
"X1870.07.16","Floridian",29.38246918,29.27487564,29.27487564,29.27487564,29.27487564,29.27487564,29.3748703,29.37886355,29.27487564,29.27487564,29.38246918,29.38191509,29.27487564,29.29639435,29.38246918,29.27487564,29.32323875,29.27487564,29.38246918,29.0102977752686,29.0102977752686,29.0102977752686,29.0102977752686,29.0102977752686,29.0102977752686,29.0102977752686,29.0102977752686,29.0102977752686,29.0102977752686,29.0020333176952,29.0102977752686,29.0102977752686,29.2748756408691,29.0726625578744,29.1234698102653,29.0102977752686,29.109191593931,29.0102977752686,29.0675038002633,29.0168984704603,29.2635536150889,29.0332139683521,29.0249965455797,29.0102977752686
"X1870.08.16","Floridian",29.75183868,29.61443138,29.61443138,29.61443138,29.61443138,29.61443138,29.74113464,29.74673283,29.61443138,29.61443138,29.75183868,29.75105818,29.61443138,29.64191284,29.75183868,29.61443138,29.69140396,29.61443138,29.75183868,29.3563919067383,29.3563919067383,29.3563919067383,29.3563919067383,29.3563919067383,29.3563919067383,29.3563919067383,29.3563919067383,29.3563919067383,29.3563919067383,29.3455736903821,29.3563919067383,29.3563919067383,29.6144313812256,29.4172154971531,29.466767173282,29.3563919067383,29.4528418079413,29.3563919067383,29.4121842255463,29.3628294819854,29.6033891514615,29.3787417824813,29.3707274330987,29.3563919067383
"X1870.09.16","Floridian",29.33145142,29.42974091,29.42974091,29.42974091,29.42974091,29.42974091,29.343453,29.33509784,29.42974091,29.42974091,29.33145142,29.33232653,29.42974091,29.41008301,29.33145142,29.42974091,29.34179268,29.42974091,29.33145142,29.2920570373535,29.2920570373535,29.2920570373535,29.2920570373535,29.2920570373535,29.2920570373535,29.2920570373535,29.2920570373535,29.2920570373535,29.2920570373535,29.2764023473707,29.2920570373535,29.2920570373535,29.4297409057617,29.3245110920497,29.3509507151697,29.2920570373535,29.3435204637599,29.2920570373535,29.3218265224147,29.2954919779375,29.42384902851,29.3039824117826,29.299706141154,29.2920570373535
