lat,lon
20.6499998,-90.83332892
9.211399417,-83.81981315
10.85596943,-85.93335099
9.747200555,-82.81231222
11.00995557,-85.73890635
21.83360714,-92.06359084
21.43332892,-90.50000396
21.33416355,-90.16359861
21.17177605,-91.78968425
22.76666937,-88.40000444
21.60000069,-88.30000452
21.45169612,-90.29731041
21.78832887,-91.96028353
21.91521956,-89.56932814
26.4416836,-80.04536861
26.79174355,-80.00711969
26.34083931,-80.05409584
26.59001561,-80.02386891
26.77626705,-80.01781927
26.43585736,-80.04645257
26.4683966,-80.04226961
26.64747528,-80.01789315
26.80633806,-80.01102077
26.68046276,-80.01602659
26.88454384,-80.00429247
26.50702003,-80.03447193
26.36232557,-80.05328458
11.84495942,-71.3227604
11.85011073,-66.11811
11.80528983,-66.75367859
10.55480458,-67.21365271
10.46962359,-67.83948689
10.4667129,-67.93876969
10.48833549,-67.94650546
10.47041878,-67.89696473
11.80087832,-64.42712361
11.79790881,-66.73936585
11.80189026,-64.44340301
11.82082385,-66.65484841
10.88446038,-65.27931085
11.74029138,-66.84011818
10.53933924,-66.0827413
12.08018786,-69.86767977
10.81244287,-63.9501854
10.94089962,-64.15604128
10.24898223,-64.56978434
7.402896421,-81.65658771
7.42422062,-81.6910289
7.625672056,-80.00498882
27.87472395,-93.81648229
27.90976297,-93.60041949
8.6593799,-77.36065478
11.74806502,-72.68232876
9.777049104,-75.89069596
8.666903535,-77.36103905
24.59536198,-82.10947285
17.89634548,-66.50814009
18.05595879,-67.87562046
17.94518267,-66.71820663
17.92535095,-67.11700469
17.96349005,-66.72456882
17.96389312,-67.02317297
18.38639127,-67.21532218
18.07479788,-65.47334288
18.13934943,-67.18879477
18.08707821,-67.94306332
18.10681406,-65.3096295
17.90046954,-66.95689016
18.17897941,-65.45495112
18.04299791,-67.28524212
18.21940941,-65.39432796
17.96619323,-67.32577777
18.17469675,-67.2463664
18.09700849,-67.95165206
18.2874993,-65.2386489
17.91348405,-66.23811367
18.29020628,-65.25897323
17.9445624,-67.06451197
18.1734066,-65.52375968
18.47867355,-66.19560416
17.96657714,-66.34624719
18.46285681,-66.04004118
18.41621982,-65.77287923
17.98190518,-66.7367371
17.94646956,-67.08908754
18.43931158,-65.84384191
17.89963384,-66.94388775
18.07348541,-65.50526127
17.95222931,-67.05512784
17.96613396,-66.67228276
17.97719772,-66.71577867
18.16474117,-65.59694194
18.30108106,-65.32091573
17.73203307,-64.8958217
17.74617954,-64.52017454
17.78355535,-64.79477123
17.78291196,-64.756372
17.76599782,-64.8307816
17.78197839,-64.76252203
17.67623519,-64.77679462
17.6474043,-64.8240006
17.67301361,-64.78203206
17.76896685,-64.51287503
18.3378771,-64.66101567
18.31470678,-64.75848849
17.78151015,-64.7999597
17.78584122,-64.7741523
18.28022147,-64.95859152
18.33118084,-64.69475014
18.33793901,-64.68890697
18.34598684,-64.68531373
17.76013545,-64.71656558
18.30268204,-64.8718725
17.68060708,-64.71803289
17.79028247,-64.609244
17.71131865,-64.67267626
18.30305552,-64.872169
17.71407834,-64.66282892
17.75810989,-64.71425936
17.76396075,-64.60313439
10.8227079,-75.18784064
10.68088909,-75.39631967
10.84265959,-75.14755035
12.34830835,-71.83189529
8.624816136,-76.88988989
8.645936076,-76.89857577
8.574048785,-77.29094507
8.730420535,-76.63365625
10.00448256,-83.032384
9.995895195,-83.01368191
10.01371533,-83.06302057
9.07574631,-76.23211161
8.889525758,-76.42993133
9.331194917,-76.09868402
9.205784028,-76.17889287
9.03105006,-76.26396866
8.955883789,-76.32456976
26.04422348,-80.08701021
26.14366838,-80.07758095
26.05705802,-80.0981307
26.23265494,-80.08245685
26.02110175,-80.103761
26.17781493,-80.08924237
25.95647092,-80.09900581
26.26237672,-80.07125242
26.13863878,-80.09204562
26.01859628,-80.11039209
26.22114122,-80.08072584
26.30350263,-80.05886693
26.20005952,-80.08604108
18.39887286,-75.01406599
18.54923431,-75.72497391
17.19536915,-61.85451632
17.08631306,-61.67419445
17.05177464,-61.67470859
17.08714152,-61.66725416
17.57623871,-61.7307343
17.63583798,-61.74943741
17.57762574,-61.81001774
17.00594105,-61.87096136
17.1600245,-61.79172054
17.13477132,-61.92662115
17.03935986,-61.6831416
